region,country,ico_member,calendar_year,imports_1k_bags,imports_kg,imports_lb
Europe,Estonia,member,1999.0,130.9134032,7854804.192,17316879.011885412
Europe,Finland,member,1999.0,1209.4849999,72569099.994,159987479.4940671
Europe,France,member,1999.0,6675.6656522,400539939.132,883039410.7648293
Europe,Germany,member,1999.0,14320.0270212,859201621.272,1894215330.9864473
Europe,Greece,member,1999.0,732.9623054,43977738.324,96954316.76689011
Europe,Hungary,member,1999.0,762.0653045,45723918.269999996,100803984.57766251
Europe,Ireland,member,1999.0,142.0334995,8522009.97,18787815.963493243
Europe,Italy,member,1999.0,5943.0875112,356585250.67200005,786135910.2495443
Europe,Latvia,member,1999.0,183.1094766,10986568.595999999,24221237.66324839
Europe,Lithuania,member,1999.0,206.2732062,12376392.372000001,27285274.600202985
Europe,Luxembourg,member,1999.0,145.0452036,8702712.216,19186196.222843945
Europe,Malta,member,1999.0,8.9042352,534254.1120000001,1177828.7011315837
Europe,Netherlands,member,1999.0,2565.5043218,153930259.308,339358131.8576533
Europe,Poland,member,1999.0,2403.6349207,144218095.24199998,317946475.25063103
Europe,Portugal,member,1999.0,816.947305,49016838.300000004,108063630.56774351
Europe,Romania,member,1999.0,511.423008,30685380.479999997,67649683.9662824
Europe,Slovakia,member,1999.0,268.9757881,16138547.286,35579406.43051152
Europe,Slovenia,member,1999.0,181.5247271,10891483.626000002,24011611.18738847
Europe,Spain,member,1999.0,3986.023909,239161434.54,527260708.86098194
Europe,Sweden,member,1999.0,1455.6766993,87340601.95800002,192553066.88260326
Asia & Oceania,Japan,member,1999.0,6547.4849994,392849099.964,866084012.7540464
Europe,Norway,member,1999.0,789.9776023,47398656.138,104496149.56712414
Europe,Russian Federation,member,1999.0,1368.0771672,82084630.032,180965632.2747351
Europe,Switzerland,member,1999.0,1138.9260014,68335560.08399999,150654121.63797626
Africa,Tunisia,member,1999.0,185.7474234,11144845.404,24570178.2946794
Europe,United Kingdom,member,1999.0,2907.2550112,174435300.672,384564009.9106977
North America,United States of America,member,1999.0,22746.4323379,1364785940.2740002,3008837957.910884
Europe,Austria,member,2000.0,1257.2328923,75433973.538,166303444.51790908
Europe,Belgium,member,2000.0,3490.6155829,209436934.97399998,461729404.6946078
Europe,Bulgaria,member,2000.0,280.7270156,16843620.936000004,37133827.74937188
Europe,Croatia,member,2000.0,344.3819963,20662919.778,45553940.376050584
Europe,Cyprus,member,2000.0,68.5379972,4112279.832000001,9066025.14500472
Europe,Czechia,member,2000.0,808.9423769,48536542.614,107004759.83321093
Europe,Denmark,member,2000.0,1021.7982959,61307897.754,135160778.2865352
Europe,Estonia,member,2000.0,105.3046037,6318276.222,13929414.690118153
Europe,Finland,member,2000.0,1063.1109996,63786659.975999996,140625513.55534357
Europe,France,member,2000.0,6520.0085794,391200514.76399994,862449504.5280792
Europe,Germany,member,2000.0,13894.5395181,833672371.0860001,1837932968.5075235
Europe,Greece,member,2000.0,798.3858564,47903151.383999996,105608371.19907153
Europe,Hungary,member,2000.0,790.2066673,47412400.038,104526449.67997661
Europe,Ireland,member,2000.0,154.6881905,9281291.43,20461745.046560537
Europe,Italy,member,2000.0,6314.874691,378892481.46,835314935.8755977
Europe,Latvia,member,2000.0,181.0516991,10863101.946,23949040.293614358
Europe,Lithuania,member,2000.0,212.6624974,12759749.844,28130433.15522941
Europe,Luxembourg,member,2000.0,231.7700387,13906202.321999999,30657928.223104194
Europe,Malta,member,2000.0,9.2018914,552113.4839999999,1217201.876654818
Europe,Netherlands,member,2000.0,2965.800776,177948046.56,392308288.9601931
Europe,Poland,member,2000.0,2576.3767635,154582605.81,340796309.71324724
Europe,Portugal,member,2000.0,811.4328957,48685973.742,107334199.0784083
Europe,Romania,member,2000.0,551.5569948,33093419.688,72958501.67854097
Europe,Slovakia,member,2000.0,285.9653534,17157921.204,37826741.23025819
Europe,Slovenia,member,2000.0,186.7730369,11206382.214,24705843.738081887
Europe,Spain,member,2000.0,3768.2017865,226092107.19,498447774.13280904
Europe,Sweden,member,2000.0,1344.167892,80650073.52,177802976.53605765
