country,harvest_group,crop_year,crop_year_beg,crop_year_end,production_1k_bags,production_kg,production_lb
Guatemala,October,1993/94,1993,1994,3535.501,212130060.0,467666729.0503978
Guinea,October,1993/94,1993,1994,63.806,3828360.0,8440089.060585666
Guyana,October,1993/94,1993,1994,0.0,0.0,0.0
Honduras,October,1993/94,1993,1994,1829.179,109750740.0,241958964.16877767
India,October,1993/94,1993,1994,3533.181,211990860.0,467359845.5814363
Jamaica,October,1993/94,1993,1994,34.287,2057220.0,4535393.750122257
Kenya,October,1993/94,1993,1994,1328.112,79686720.0,175679145.57302684
Lao People's Democratic Republic,October,1993/94,1993,1994,0.0,0.0,0.0
Liberia,October,1993/94,1993,1994,5.0,300000.0,661386.786555
Mexico,October,1993/94,1993,1994,5023.488,301409280.0,664493717.1235207
Nepal,October,1993/94,1993,1994,0.0,0.0,0.0
Nicaragua,October,1993/94,1993,1994,706.13,42367800.0,93405010.31801642
Nigeria,October,1993/94,1993,1994,45.319,2719140.0,5994677.5559772095
Panama,October,1993/94,1993,1994,142.066,8523960.0,18792115.043744527
Sierra Leone,October,1993/94,1993,1994,37.451,2247060.0,4953919.308654261
Sri Lanka,October,1993/94,1993,1994,53.79,3227400.0,7115199.04975869
Thailand,October,1993/94,1993,1994,1275.201,76512060.0,168680218.3203445
Togo,October,1993/94,1993,1994,194.939,11696340.0,25786015.75684903
Trinidad & Tobago,October,1993/94,1993,1994,16.079,964740.0,2126887.628203569
Uganda,October,1993/94,1993,1994,3141.706,188502360.0,415576567.12811255
Venezuela,October,1993/94,1993,1994,1332.881,79972860.0,176309976.290043
Viet Nam,October,1993/94,1993,1994,3020.216,181212960.0,399506190.9883992
Yemen,October,1993/94,1993,1994,0.0,0.0,0.0
Angola,April,1994/95,1994,1995,76.802,4608120.0,10159165.596199421
Bolivia (Plurinational State of),April,1994/95,1994,1995,116.944,7016640.0,15469043.273377584
Brazil,April,1994/95,1994,1995,28192.047,1691522820.0,3729169474.3475056
Burundi,April,1994/95,1994,1995,664.143,39848580.0,87851080.91659947
Ecuador,April,1994/95,1994,1995,2375.766,142545960.0,314260048.0693252
Indonesia,April,1994/95,1994,1995,5367.878,322072680.0,710048716.207856
Madagascar,April,1994/95,1994,1995,641.372,38482320.0,84838993.2132707
Malawi,April,1994/95,1994,1995,84.112,5046720.0,11126113.078142833
Papua New Guinea,April,1994/95,1994,1995,1138.659,68319540.0,150618803.39838594
Paraguay,April,1994/95,1994,1995,25.2643,1515858.0,3341894.838312297
Peru,April,1994/95,1994,1995,1178.628,70717680.0,155905797.0927493
Rwanda,April,1994/95,1994,1995,22.449,1346940.0,2969494.394274639
Timor-Leste,April,1994/95,1994,1995,0.0,0.0,0.0
Zimbabwe,April,1994/95,1994,1995,106.302,6378120.0,14061347.636873921
Congo,July,1994/95,1994,1995,7.585,455100.0,1003323.755203935
Cuba,July,1994/95,1994,1995,284.315,17058900.0,37608436.843876965
Dominican Republic,July,1994/95,1994,1995,729.67,43780200.0,96518819.30911738
Haiti,July,1994/95,1994,1995,450.246,27014760.0,59557351.0198485
Philippines,July,1994/95,1994,1995,876.764,52605840.0,115976024.9054216
Tanzania,July,1994/95,1994,1995,679.024,40741440.0,89819500.27074446
Zambia,July,1994/95,1994,1995,21.455,1287300.0,2838010.7011075052
Cameroon,October,1994/95,1994,1995,405.557,24333420.0,53646008.198977225
Central African Republic,October,1994/95,1994,1995,249.512,14970720.0,33004787.97738223
Colombia,October,1994/95,1994,1995,12964.0,777840000.0,1714843660.179804
Costa Rica,October,1994/95,1994,1995,2481.942,148916520.0,328304728.759178
Côte d'Ivoire,October,1994/95,1994,1995,3006.444,180386640.0,397684467.2235121
Democratic Republic of Congo,October,1994/95,1994,1995,1297.805,77868300.0,171670215.70500237
El Salvador,October,1994/95,1994,1995,2293.468,137608080.0,303373886.11734456
Equatorial Guinea,October,1994/95,1994,1995,3.193,191580.0,422361.601894023
Ethiopia,October,1994/95,1994,1995,2762.73,165763800.0,365446623.36381906
Gabon,October,1994/95,1994,1995,7.701,462060.0,1018667.928652011
Ghana,October,1994/95,1994,1995,57.176,3430560.0,7563090.181613736
Guatemala,October,1994/95,1994,1995,3787.336,227240160.0,500978797.3288135
Guinea,October,1994/95,1994,1995,198.357,11901420.0,26238139.764138028
Guyana,October,1994/95,1994,1995,0.0,0.0,0.0
Honduras,October,1994/95,1994,1995,2180.73,130843800.0,288461201.40881705
India,October,1994/95,1994,1995,3001.564,180093840.0,397038953.7198344
Jamaica,October,1994/95,1994,1995,44.598,2675880.0,5899305.581355978
Kenya,October,1994/95,1994,1995,1663.131,99787860.0,219994573.54200074
Lao People's Democratic Republic,October,1994/95,1994,1995,0.0,0.0,0.0
Liberia,October,1994/95,1994,1995,5.0,300000.0,661386.786555
Mexico,October,1994/95,1994,1995,4158.777,249526620.0,550112031.2057687
Nepal,October,1994/95,1994,1995,0.0,0.0,0.0
Nicaragua,October,1994/95,1994,1995,682.969,40978140.0,90341334.44533636
Nigeria,October,1994/95,1994,1995,51.631,3097860.0,6829612.235324241
Panama,October,1994/95,1994,1995,248.313,14898780.0,32846187.425966345
Sierra Leone,October,1994/95,1994,1995,72.738,4364280.0,9621590.416087518
Sri Lanka,October,1994/95,1994,1995,42.448,2546880.0,5614909.263137328
Thailand,October,1994/95,1994,1995,1399.135,83948100.0,185073880.321326
Togo,October,1994/95,1994,1995,176.296,10577760.0,23319968.984500058
Trinidad & Tobago,October,1994/95,1994,1995,18.435,1106100.0,2438533.082028285
Uganda,October,1994/95,1994,1995,2392.753,143565180.0,316507043.5379672
Venezuela,October,1994/95,1994,1995,988.996,59339760.0,130821777.27114975
Viet Nam,October,1994/95,1994,1995,3631.609,217896540.0,480379641.3068434
Yemen,October,1994/95,1994,1995,0.0,0.0,0.0
Angola,April,1995/96,1995,1996,62.109,3726540.0,8215614.385228899
Bolivia (Plurinational State of),April,1995/96,1995,1996,142.485,8549100.0,18847539.256457835
Brazil,April,1995/96,1995,1996,18060.2022,1083612132.0,2388955819.518308
Burundi,April,1995/96,1995,1996,433.98,26038800.0,57405727.52582778
Ecuador,April,1995/96,1995,1996,1888.233,113293980.0,249770471.22742146
Indonesia,April,1995/96,1995,1996,4573.429,274405740.0,604961101.9694895
Madagascar,April,1995/96,1995,1996,785.009,47100540.0,103838915.9853508
Malawi,April,1995/96,1995,1996,91.235,5474100.0,12068324.694269085
Papua New Guinea,April,1995/96,1995,1996,1002.363,60141780.0,132589928.70632589
Paraguay,April,1995/96,1995,1996,26.2539,1575234.0,3472796.511107263
Peru,April,1995/96,1995,1996,1870.939,112256340.0,247482866.61008504
Rwanda,April,1995/96,1995,1996,329.078,19744680.0,43529568.189189255
Timor-Leste,April,1995/96,1995,1996,0.0,0.0,0.0
Zimbabwe,April,1995/96,1995,1996,130.644,7838640.0,17281243.068538286
Congo,July,1995/96,1995,1996,11.755,705300.0,1554920.335190805
Cuba,July,1995/96,1995,1996,284.955,17097300.0,37693094.352556005
Dominican Republic,July,1995/96,1995,1996,885.625,53137500.0,117148134.56855437
Haiti,July,1995/96,1995,1996,513.945,30836700.000000004,67983286.40320191
Philippines,July,1995/96,1995,1996,849.59,50975400.0,112381519.99785249
Tanzania,July,1995/96,1995,1996,897.121,53827260.0,118668795.06820163
Zambia,July,1995/96,1995,1996,26.333,1579980.0,3483259.650070563
Cameroon,October,1995/96,1995,1996,660.04,39602400.0,87308346.91955245
Central African Republic,October,1995/96,1995,1996,108.065,6483900.0,14294552.617813215
Colombia,October,1995/96,1995,1996,12938.018,776281080.0,1711406829.8821497
Costa Rica,October,1995/96,1995,1996,2843.596,170615760.0,376143364.14013034
Côte d'Ivoire,October,1995/96,1995,1996,2531.864,151911840.0,334908278.9908577
Democratic Republic of Congo,October,1995/96,1995,1996,1098.155,65889300.0,145261041.3178612
El Salvador,October,1995/96,1995,1996,2585.179,155110740.0,341960646.29589367
Equatorial Guinea,October,1995/96,1995,1996,1.807,108420.0,239025.18466097701
Ethiopia,October,1995/96,1995,1996,3165.322,189919320.0,418700429.19836915
Gabon,October,1995/96,1995,1996,1.768,106080.0,233866.36772584802
Ghana,October,1995/96,1995,1996,56.528,3391680.0,7477374.454076208
Guatemala,October,1995/96,1995,1996,4001.604,240096240.0,529321602.12512684
Guinea,October,1995/96,1995,1996,104.164,6249840.0,13778538.646943005
Guyana,October,1995/96,1995,1996,0.0,0.0,0.0
Honduras,October,1995/96,1995,1996,1909.238,114554280.0,252548957.11773902
India,October,1995/96,1995,1996,4012.026,240721560.0,530700196.7430221
Jamaica,October,1995/96,1995,1996,43.084,2585040.0,5699037.662387124
Kenya,October,1995/96,1995,1996,1664.234,99854040.0,220140475.46711478
Lao People's Democratic Republic,October,1995/96,1995,1996,0.0,0.0,0.0
Liberia,October,1995/96,1995,1996,5.0,300000.0,661386.786555
Mexico,October,1995/96,1995,1996,5299.888,317993280.0,701055178.6842812
Nepal,October,1995/96,1995,1996,0.0,0.0,0.0
Nicaragua,October,1995/96,1995,1996,984.676,59080560.0,130250339.08756624
Nigeria,October,1995/96,1995,1996,53.038,3182280.0,7015726.477060818
Panama,October,1995/96,1995,1996,209.448,12566880.0,27705227.934074327
Sierra Leone,October,1995/96,1995,1996,43.768,2626080.0,5789515.374787848
Sri Lanka,October,1995/96,1995,1996,35.595,2135700.0,4708412.533485045
Thailand,October,1995/96,1995,1996,1317.226,79033560.0,174239174.26133928
Togo,October,1995/96,1995,1996,84.401,5064060.0,11164341.234405711
Trinidad & Tobago,October,1995/96,1995,1996,17.629,1057740.0,2331917.532035619
Uganda,October,1995/96,1995,1996,3243.584,194615040.0,429052719.73624265
Venezuela,October,1995/96,1995,1996,1466.554,87993240.0,193991887.4738763
Viet Nam,October,1995/96,1995,1996,3970.086,238205160.0,525152484.3773987
Yemen,October,1995/96,1995,1996,0.0,0.0,0.0
Angola,April,1996/97,1996,1997,70.925,4255500.0,9381771.567282675
Bolivia (Plurinational State of),April,1996/97,1996,1997,124.579,7474740.0,16478980.89644707
Brazil,April,1996/97,1996,1997,29196.743,1751804580.0,3862068006.128438
Burundi,April,1996/97,1996,1997,400.969,24058140.0,53039119.68363436
Ecuador,April,1996/97,1996,1997,1992.914,119574840.0,263617397.26809424
Indonesia,April,1996/97,1996,1997,8220.584,493235040.00000006,1087397127.0730898
Madagascar,April,1996/97,1996,1997,849.008,50940480.0,112304534.57589749
Malawi,April,1996/97,1996,1997,48.65,2919000.0,6435293.43318015
Papua New Guinea,April,1996/97,1996,1997,1089.348,65360880.0,144096074.63202322
Paraguay,April,1996/97,1996,1997,30.8431,1850586.0,4079843.759278904
Peru,April,1996/97,1996,1997,1805.861,108351660.0,238874520.75099978
Rwanda,April,1996/97,1996,1997,293.003,17580180.0,38757662.52419493
Timor-Leste,April,1996/97,1996,1997,0.0,0.0,0.0
Zimbabwe,April,1996/97,1996,1997,174.393,10463580.0,23068245.173537225
Congo,July,1996/97,1996,1997,13.86,831600.0,1833364.17233046
Cuba,July,1996/97,1996,1997,365.865,21951900.0,48395655.332589015
Dominican Republic,July,1996/97,1996,1997,518.848,31130879.999999996,68631842.28609772
Haiti,July,1996/97,1996,1997,428.387,25703220.0,56665900.26638736
Philippines,July,1996/97,1996,1997,889.819,53389140.0,117702905.80511671
Tanzania,July,1996/97,1996,1997,763.94,45836400.0,101051964.34416534
Zambia,July,1996/97,1996,1997,33.025,1981500.0,4368459.725195775
Cameroon,October,1996/97,1996,1997,1432.189,85931340.0,189446176.08988377
Central African Republic,October,1996/97,1996,1997,207.831,12469860.0,27491335.447302442
Colombia,October,1996/97,1996,1997,10778.85,646731000.0,1425797792.8516724
Costa Rica,October,1996/97,1996,1997,2221.915,133314900.0,293909044.36967057
Côte d'Ivoire,October,1996/97,1996,1997,4858.592,291515520.0,642681710.0123662
Democratic Republic of Congo,October,1996/97,1996,1997,794.577,47674620.0,105104545.74010246
El Salvador,October,1996/97,1996,1997,2533.568,152014080.0,335133679.60771567
Equatorial Guinea,October,1996/97,1996,1997,1.12,67200.0,148150.64018832
Ethiopia,October,1996/97,1996,1997,3407.442,204446520.0,450727422.9505085
Gabon,October,1996/97,1996,1997,1.279,76740.0,169182.740000769
Ghana,October,1996/97,1996,1997,32.425,1945499.9999999998,4289093.310809175
