country,indicator_name,calendar_year,price_paid_cents_per_lb,price_paid_dollars_per_lb
Mexico,other_milds,1998,101.6877,1.016877
Nicaragua,other_milds,1998,,
Panama,other_milds,1998,111.7558,1.1175579999999998
Papua New Guinea,other_milds,1998,104.8459,1.048459
Peru,other_milds,1998,75.4309,0.7543089999999999
Rwanda,other_milds,1998,55.6524,0.556524
Sri Lanka,other_milds,1998,,
Uganda,other_milds,1998,78.7451,0.7874509999999999
Venezuela,other_milds,1998,,
Zambia,other_milds,1998,130.8328,1.308328
Zimbabwe,other_milds,1998,,
Angola,brazilian_naturals,1998,,
Brazil,brazilian_naturals,1998,105.2491,1.052491
Ethiopia,brazilian_naturals,1998,91.8639,0.918639
Indonesia,brazilian_naturals,1998,99.4085,0.994085
Philippines,brazilian_naturals,1998,81.8728,0.818728
Thailand,brazilian_naturals,1998,,
Viet Nam,brazilian_naturals,1998,,
Angola,robustas,1998,,
Benin,robustas,1998,,
Brazil,robustas,1998,77.7473,0.777473
Burundi,robustas,1998,35.3567,0.35356699999999996
Cameroon,robustas,1998,36.4619,0.364619
Central African Republic,robustas,1998,37.8613,0.378613
Congo,robustas,1998,,
Côte d'Ivoire,robustas,1998,40.1367,0.401367
Democratic Republic of Congo,robustas,1998,44.276,0.44276000000000004
Ecuador,robustas,1998,66.6301,0.666301
Gabon,robustas,1998,50.2608,0.502608
Ghana,robustas,1998,,
Guinea,robustas,1998,,
India,robustas,1998,75.6198,0.7561979999999999
Indonesia,robustas,1998,59.3709,0.593709
Liberia,robustas,1998,,
Madagascar,robustas,1998,48.2505,0.482505
Nigeria,robustas,1998,,
Papua New Guinea,robustas,1998,59.1507,0.591507
Philippines,robustas,1998,76.6635,0.766635
Sierra Leone,robustas,1998,,
Sri Lanka,robustas,1998,,
Tanzania,robustas,1998,28.1884,0.281884
Thailand,robustas,1998,27.3262,0.273262
Togo,robustas,1998,49.9303,0.49930300000000005
Trinidad & Tobago,robustas,1998,60.2943,0.602943
Uganda,robustas,1998,40.0205,0.400205
Viet Nam,robustas,1998,65.8694,0.658694
Colombia,colombian_milds,1999,86.3828,0.863828
