country,harvest_group,crop_year,crop_year_beg,crop_year_end,consumption_1k_bags,consumption_kg,consumption_lb
Nigeria,October,1992/93,1992,1993,35.75,2145000.0,4728915.52386825
Panama,October,1992/93,1992,1993,67.0,4020000.0,8862582.939837
Sierra Leone,October,1992/93,1992,1993,9.0,540000.0,1190496.215799
Sri Lanka,October,1992/93,1992,1993,28.0,1680000.0,3703766.004708
Thailand,October,1992/93,1992,1993,233.0,13980000.0,30820624.253463
Togo,October,1992/93,1992,1993,1.0,60000.0,132277.357311
Trinidad & Tobago,October,1992/93,1992,1993,10.0,600000.0,1322773.57311
Uganda,October,1992/93,1992,1993,75.0,4500000.0,9920801.798325
Venezuela,October,1992/93,1992,1993,849.97,50998200.0,112431785.39363067
Viet Nam,October,1992/93,1992,1993,250.0,15000000.0,33069339.32775
Yemen,October,1992/93,1992,1993,0.0,0.0,0.0
Angola,April,1993/94,1993,1994,20.0,1200000.0,2645547.14622
Bolivia (Plurinational State of),April,1993/94,1993,1994,28.5,1710000.0,3769904.6833635
Brazil,April,1993/94,1993,1994,9100.0,546000000.0,1203723951.5301
Burundi,April,1993/94,1993,1994,1.91,114600.0,252649.75246401
Ecuador,April,1993/94,1993,1994,350.0,21000000.0,46297075.05885
Indonesia,April,1993/94,1993,1994,1359.0,81540000.0,179764928.585649
Madagascar,April,1993/94,1993,1994,360.0,21600000.0,47619848.63196
Malawi,April,1993/94,1993,1994,2.0,120000.0,264554.714622
Papua New Guinea,April,1993/94,1993,1994,2.0,120000.0,264554.714622
Paraguay,April,1993/94,1993,1994,20.0,1200000.0,2645547.14622
Peru,April,1993/94,1993,1994,200.0,12000000.0,26455471.4622
Rwanda,April,1993/94,1993,1994,1.0,60000.0,132277.357311
Timor-Leste,April,1993/94,1993,1994,0.0,0.0,0.0
Zimbabwe,April,1993/94,1993,1994,8.333,499980.0,1102267.218472563
Congo,July,1993/94,1993,1994,3.0,180000.0,396832.071933
Cuba,July,1993/94,1993,1994,194.1,11646000.0,25675035.0540651
Dominican Republic,July,1993/94,1993,1994,320.0,19200000.0,42328754.33952
Haiti,July,1993/94,1993,1994,330.0,19800000.0,43651527.91263
Philippines,July,1993/94,1993,1994,770.0,46200000.0,101853565.12947
Tanzania,July,1993/94,1993,1994,17.5,1050000.0,2314853.7529425
Zambia,July,1993/94,1993,1994,1.0,60000.0,132277.357311
Cameroon,October,1993/94,1993,1994,100.0,6000000.0,13227735.7311
Central African Republic,October,1993/94,1993,1994,25.0,1500000.0,3306933.932775
Colombia,October,1993/94,1993,1994,1339.0,80340000.0,177119381.43942901
Costa Rica,October,1993/94,1993,1994,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1993/94,1993,1994,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1993/94,1993,1994,200.0,12000000.0,26455471.4622
El Salvador,October,1993/94,1993,1994,230.0,13800000.0,30423792.18153
Equatorial Guinea,October,1993/94,1993,1994,0.0,0.0,0.0
Ethiopia,October,1993/94,1993,1994,1402.0,84120000.0,185452854.950022
Gabon,October,1993/94,1993,1994,0.8,48000.0,105821.8858488
Ghana,October,1993/94,1993,1994,17.0,1020000.0,2248715.074287
Guatemala,October,1993/94,1993,1994,310.0,18600000.0,41005980.76641
Guinea,October,1993/94,1993,1994,33.0,1980000.0,4365152.791263
Guyana,October,1993/94,1993,1994,0.0,0.0,0.0
Honduras,October,1993/94,1993,1994,230.0,13800000.0,30423792.18153
India,October,1993/94,1993,1994,833.333,49999980.0,110231087.00004756
Jamaica,October,1993/94,1993,1994,9.6,576000.0,1269862.6301856
Kenya,October,1993/94,1993,1994,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1993/94,1993,1994,0.0,0.0,0.0
Liberia,October,1993/94,1993,1994,5.0,300000.0,661386.786555
Mexico,October,1993/94,1993,1994,1070.0,64200000.0,141536772.32277
Nepal,October,1993/94,1993,1994,0.0,0.0,0.0
Nicaragua,October,1993/94,1993,1994,108.9,6534000.0,14405004.2111679
Nigeria,October,1993/94,1993,1994,40.0,2400000.0,5291094.29244
Panama,October,1993/94,1993,1994,67.0,4020000.0,8862582.939837
Sierra Leone,October,1993/94,1993,1994,5.0,300000.0,661386.786555
Sri Lanka,October,1993/94,1993,1994,20.0,1200000.0,2645547.14622
Thailand,October,1993/94,1993,1994,250.0,15000000.0,33069339.32775
Togo,October,1993/94,1993,1994,1.0,60000.0,132277.357311
Trinidad & Tobago,October,1993/94,1993,1994,10.0,600000.0,1322773.57311
Uganda,October,1993/94,1993,1994,75.0,4500000.0,9920801.798325
Venezuela,October,1993/94,1993,1994,885.93,53155800.0,117188479.16253424
Viet Nam,October,1993/94,1993,1994,267.0,16020000.0,35318054.402037
Yemen,October,1993/94,1993,1994,0.0,0.0,0.0
Angola,April,1994/95,1994,1995,25.0,1500000.0,3306933.932775
Bolivia (Plurinational State of),April,1994/95,1994,1995,29.5,1770000.0,3902182.0406745
Brazil,April,1994/95,1994,1995,9300.0,558000000.0,1230179422.9923
Burundi,April,1994/95,1994,1995,2.0,120000.0,264554.714622
Ecuador,April,1994/95,1994,1995,350.0,21000000.0,46297075.05885
Indonesia,April,1994/95,1994,1995,1400.0,84000000.0,185188300.2354
Madagascar,April,1994/95,1994,1995,166.666,9999960.0,22046138.033595126
Malawi,April,1994/95,1994,1995,2.0,120000.0,264554.714622
Papua New Guinea,April,1994/95,1994,1995,2.0,120000.0,264554.714622
Paraguay,April,1994/95,1994,1995,20.0,1200000.0,2645547.14622
Peru,April,1994/95,1994,1995,200.0,12000000.0,26455471.4622
Rwanda,April,1994/95,1994,1995,1.0,60000.0,132277.357311
Timor-Leste,April,1994/95,1994,1995,0.0,0.0,0.0
Zimbabwe,April,1994/95,1994,1995,8.333,499980.0,1102267.218472563
Congo,July,1994/95,1994,1995,3.0,180000.0,396832.071933
Cuba,July,1994/95,1994,1995,194.0,11640000.0,25661807.318334002
Dominican Republic,July,1994/95,1994,1995,330.0,19800000.0,43651527.91263
Haiti,July,1994/95,1994,1995,330.0,19800000.0,43651527.91263
Philippines,July,1994/95,1994,1995,790.0,47400000.0,104499112.27569
Tanzania,July,1994/95,1994,1995,17.5,1050000.0,2314853.7529425
Zambia,July,1994/95,1994,1995,1.5,90000.0,198416.0359665
Cameroon,October,1994/95,1994,1995,100.0,6000000.0,13227735.7311
Central African Republic,October,1994/95,1994,1995,15.0,900000.0,1984160.359665
Colombia,October,1994/95,1994,1995,1375.0,82500000.0,181881366.302625
Costa Rica,October,1994/95,1994,1995,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1994/95,1994,1995,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1994/95,1994,1995,200.0,12000000.0,26455471.4622
El Salvador,October,1994/95,1994,1995,230.0,13800000.0,30423792.18153
Equatorial Guinea,October,1994/95,1994,1995,0.0,0.0,0.0
Ethiopia,October,1994/95,1994,1995,1476.0,88560000.0,195241379.391036
Gabon,October,1994/95,1994,1995,1.0,60000.0,132277.357311
Ghana,October,1994/95,1994,1995,28.0,1680000.0,3703766.004708
Guatemala,October,1994/95,1994,1995,310.0,18600000.0,41005980.76641
Guinea,October,1994/95,1994,1995,50.0,3000000.0,6613867.86555
Guyana,October,1994/95,1994,1995,0.0,0.0,0.0
Honduras,October,1994/95,1994,1995,253.0,15180000.0,33466171.399683
India,October,1994/95,1994,1995,835.0,50100000.0,110451593.354685
Jamaica,October,1994/95,1994,1995,15.0,900000.0,1984160.359665
Kenya,October,1994/95,1994,1995,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1994/95,1994,1995,0.0,0.0,0.0
Liberia,October,1994/95,1994,1995,5.0,300000.0,661386.786555
Mexico,October,1994/95,1994,1995,1020.0,61200000.0,134922904.45722
Nepal,October,1994/95,1994,1995,0.0,0.0,0.0
Nicaragua,October,1994/95,1994,1995,89.6,5376000.0,11852051.2150656
