country,calendar_year,exports_1k_bags,exports_kg,exports_lb
Democratic Republic of Congo,1997.0,544.253,32655180.0,71992348.54858369
Dominican Republic,1997.0,306.9770001,18418620.006,40606106.328486584
Ecuador,1997.0,1044.9809993,62698859.958,138227325.02761194
El Salvador,1997.0,2772.1260003,166327560.01800004,366689501.45279646
Equatorial Guinea,1997.0,1.12,67200.0,148150.64018832
Ethiopia,1997.0,1979.733,118783980.0,261873849.42137796
Gabon,1997.0,0.0,0.0,0.0
Ghana,1997.0,29.669,1780140.0,3924536.914060059
Guatemala,1997.0,4243.8820002,254632920.01200002,561369495.7261769
Guinea,1997.0,114.344,6860640.0,15125122.144368984
Guyana,1997.0,0.3232662,19395.972,42760.79864396919
Haiti,1997.0,100.776,6046560.0,13330382.960373336
Honduras,1997.0,1722.482,103348920.0,227845366.9757659
India,1997.0,2640.1110013,158406660.078,349226906.2596621
Indonesia,1997.0,5755.0779999,345304679.99399996,761266508.9454474
Jamaica,1997.0,29.6820001,1780920.006,3926256.532932838
Kenya,1997.0,1159.095,69545700.0,153322023.47239354
Lao People's Democratic Republic,1997.0,110.0829996,6604979.976,14561488.27195587
Liberia,1997.0,0.0,0.0,0.0
Madagascar,1997.0,480.233,28813980.0,63523952.13353346
Malawi,1997.0,60.17,3610200.0,7959128.58940287
Mexico,1997.0,4502.4240011,270145440.066,595568748.3591269
Nepal,1997.0,0.0666667,4000.0019999999995,8818.494896645243
Nicaragua,1997.0,714.0030004,42840180.024000004,94446430.00503689
Nigeria,1997.0,6.905,414300.0,913375.152232455
Panama,1997.0,124.107,7446420.0,16416545.983796278
Papua New Guinea,1997.0,1043.4369999,62606219.994,138023088.86729017
Paraguay,1997.0,35.25945,2115567.0000000005,4664026.86623934
Peru,1997.0,1647.733,98863980.0,217957766.79412597
Philippines,1997.0,30.9289995,1855739.97,4091206.31813324
Rwanda,1997.0,217.949,13076940.0,28829717.74857514
Sierra Leone,1997.0,46.9430001,2816580.006,6209495.997478009
Sri Lanka,1997.0,21.136,1268160.0,2795814.224125296
Tanzania,1997.0,655.1669989,39310019.934,86663759.21187085
Thailand,1997.0,1066.2299995,63973799.970000006,141038086.61956885
Timor-Leste,1997.0,0.0,0.0,0.0
Togo,1997.0,313.137,18788220.0,41420934.83629461
Trinidad & Tobago,1997.0,3.9519988,237119.928,522759.95736024325
Uganda,1997.0,3501.942,210116520.0,463227633.21639794
Venezuela,1997.0,104.5369998,6272219.988,13827878.074764535
Viet Nam,1997.0,6177.8340002,370670040.012,817187555.4524999
Yemen,1997.0,79.7890032,4787340.192,10554278.485774921
Zambia,1997.0,38.89,2333400.0,5144266.42582479
Zimbabwe,1997.0,109.008,6540480.0,14419290.165757488
Angola,1998.0,53.929,3235740.0,7133585.602424919
Bolivia (Plurinational State of),1998.0,97.0389999,5822339.994,12836062.462874394
Brazil,1998.0,18144.3883339,1088663300.034,2400091738.83283
Burundi,1998.0,373.841,22430460.0,49450699.53450155
Cameroon,1998.0,745.718,44743080.0,98641606.3392443
Central African Republic,1998.0,102.32,6139200.0,13534619.20006152
Colombia,1998.0,11259.9289995,675595739.9699999,1489433651.563352
Congo,1998.0,0.0,0.0,0.0
Costa Rica,1998.0,2044.5580013,122673480.078,270448729.2810241
Côte d'Ivoire,1998.0,4365.288002,261917280.12,577428760.8059753
Cuba,1998.0,151.941,9116460.0,20098353.94719065
Democratic Republic of Congo,1998.0,640.369,38422140.0,84706319.02388775
Dominican Republic,1998.0,359.5050006,21570300.036000002,47554371.41945747
