region,country,ico_member,calendar_year,re_exports_1k_bags,re_exports_kg,re_exports_lb
Europe,Slovenia,member,1997.0,9.9205884,595235.304,1312269.2165221618
Europe,Spain,member,1997.0,779.4273074,46765638.444000006,103100584.43890044
Europe,Sweden,member,1997.0,232.1004111,13926024.666,30701629.011104688
Asia & Oceania,Japan,member,1997.0,19.2460005,1154760.03,2545810.084946185
Europe,Norway,member,1997.0,8.8689998,532139.988,1173167.8555357875
Europe,Russian Federation,member,1997.0,327.8282715,19669696.290000003,43364257.405853026
Europe,Switzerland,member,1997.0,280.3420031,16820520.185999997,37082899.313340165
Africa,Tunisia,member,1997.0,,,
Europe,United Kingdom,member,1997.0,510.5714966,30634289.796,67537048.28857023
North America,United States of America,member,1997.0,2446.2976301,146777857.806,323589785.7057902
Europe,Austria,member,1998.0,209.6159091,12576954.546000002,27727438.5060908
Europe,Belgium,member,1998.0,2200.1058619235428,132006351.71541257,291024189.2196861
Europe,Bulgaria,member,1998.0,17.9619999,1077719.994,2375965.878792446
Europe,Croatia,member,1998.0,19.321001,1159260.06,2555730.9528831886
Europe,Cyprus,member,1998.0,0.5729999,34379.994,75794.91251146726
Europe,Czechia,member,1998.0,241.4310046,14485860.275999999,31935855.261427883
Europe,Denmark,member,1998.0,160.0631077,9603786.462,21172724.889541972
Europe,Estonia,member,1998.0,45.1280001,2707680.006,5969412.593958544
Europe,Finland,member,1998.0,185.5702054,11134212.324000001,24546736.365971465
Europe,France,member,1998.0,1192.7487109,71564922.654,157773647.41395393
Europe,Germany,member,1998.0,4063.4028551,243804171.30600002,537496191.3626003
Europe,Greece,member,1998.0,36.7920978,2207525.8680000002,4866761.466911858
Europe,Hungary,member,1998.0,63.227004,3793620.24,8363500.9998120265
Europe,Ireland,member,1998.0,10.2419997,614519.982,1354784.6538960547
Europe,Italy,member,1998.0,946.4571383,56787428.298,125194849.06245564
Europe,Latvia,member,1998.0,24.8422182,1490533.0920000002,3286062.9732392277
Europe,Lithuania,member,1998.0,50.0925487,3005552.922,6626109.963008568
Europe,Luxembourg,member,1998.0,70.16557757645705,4209934.654587423,9281317.176013699
Europe,Malta,member,1998.0,3.5186419,211118.514,465436.65185575595
Europe,Netherlands,member,1998.0,901.1308044,54067848.264,119199201.39756764
Europe,Poland,member,1998.0,328.4228966,19705373.796,43442912.842671804
Europe,Portugal,member,1998.0,95.7324036,5743944.215999999,12663229.357238062
Europe,Romania,member,1998.0,10.8369999,650219.9940000001,1433489.7079515713
Europe,Slovakia,member,1998.0,17.4363096,1046178.576,2306428.9551444193
Europe,Slovenia,member,1998.0,12.273798,736427.8799999999,1623545.5636090368
Europe,Spain,member,1998.0,700.2911044,42017466.264,92632656.6384336
Europe,Sweden,member,1998.0,191.5121082,11490726.491999999,25332715.56575429
Asia & Oceania,Japan,member,1998.0,9.0199998,541199.9880000001,1193141.7364897488
Europe,Norway,member,1998.0,4.4030003,264180.01800000004,582417.2439235403
Europe,Russian Federation,member,1998.0,84.8459974,5090759.8440000005,11223204.314487979
Europe,Switzerland,member,1998.0,254.308001,15258480.059999999,33639190.315323144
Africa,Tunisia,member,1998.0,,,
Europe,United Kingdom,member,1998.0,536.5877016,32195262.095999993,70978403.13323143
North America,United States of America,member,1998.0,2446.6024404,146796146.42400002,323630105.20675546
Europe,Austria,member,1999.0,398.479722,23908783.32,52709844.56818195
Europe,Belgium,member,1999.0,2168.513037,130110782.22,286845173.82881075
Europe,Bulgaria,member,1999.0,3.8765997,232595.982,512786.3636686154
Europe,Croatia,member,1999.0,14.9150007,894900.042,1972916.8768877152
Europe,Cyprus,member,1999.0,1.5172999,91037.994,200704.4210202446
Europe,Czechia,member,1999.0,169.9894309,10199365.854,22485752.690252844
Europe,Denmark,member,1999.0,224.914409,13494864.540000001,29751083.643685397
Europe,Estonia,member,1999.0,35.6599986,2139599.9159999997,4717010.376521959
Europe,Finland,member,1999.0,215.4710066,12928260.396000002,28501935.33018904
Europe,France,member,1999.0,1140.6958065,68441748.39,150888226.77955982
Europe,Germany,member,1999.0,3972.0198611,238321191.66599998,525408290.41311324
Europe,Greece,member,1999.0,92.1650993,5529905.958,12191355.771709895
Europe,Hungary,member,1999.0,105.0698023,6304188.138,13898355.78143323
Europe,Ireland,member,1999.0,7.4540003,447240.018,985995.4610794012
Europe,Italy,member,1999.0,1023.3980413,61403882.478,135372388.38041764
