country,harvest_group,crop_year,crop_year_beg,crop_year_end,exports_1k_bags,exports_kg,exports_lb
Philippines,July,1995/96,1995,1996,29.59,1775400.0,3914087.00283249
Tanzania,July,1995/96,1995,1996,934.621,56077260.0,123629195.96736413
Zambia,July,1995/96,1995,1996,25.733,1543980.0,3403893.235683963
Cameroon,October,1995/96,1995,1996,505.04,30302400.0,66805356.53634744
Central African Republic,October,1995/96,1995,1996,97.398,5843880.0,12883550.047376778
Colombia,October,1995/96,1995,1996,10784.561,647073660.0,1426553228.8392756
Costa Rica,October,1995/96,1995,1996,2480.596,148835760.0,328126683.43623734
Côte d'Ivoire,October,1995/96,1995,1996,2899.864,173991840.0,383586346.4813057
Democratic Republic of Congo,October,1995/96,1995,1996,914.585,54875100.0,120978886.83628094
El Salvador,October,1995/96,1995,1996,2255.601,135336060.0,298364939.4280489
Equatorial Guinea,October,1995/96,1995,1996,1.807,108420.0,239025.18466097701
Ethiopia,October,1995/96,1995,1996,1777.322,106639320.0,235099457.25070113
Gabon,October,1995/96,1995,1996,0.976,58560.0,129102.700735536
Ghana,October,1995/96,1995,1996,7.528,451680.0,995783.945837208
Guatemala,October,1995/96,1995,1996,3713.276,222796560.0,491182336.24636084
Guinea,October,1995/96,1995,1996,54.164,3249840.0,7164670.781393004
Guyana,October,1995/96,1995,1996,0.2597,15582.0,34352.4296936667
Honduras,October,1995/96,1995,1996,2054.338,123260280.00000001,271742401.66356516
India,October,1995/96,1995,1996,3553.026,213181560.0,469984889.7372731
Jamaica,October,1995/96,1995,1996,27.263,1635780.0,3606277.592369793
Kenya,October,1995/96,1995,1996,1895.485,113729100.0,250729746.62264085
Lao People's Democratic Republic,October,1995/96,1995,1996,149.4335,8966010.0,19766668.473733317
Liberia,October,1995/96,1995,1996,0.0,0.0,0.0
Mexico,October,1995/96,1995,1996,4578.888,274733280.0,605683204.0630502
Nepal,October,1995/96,1995,1996,0.2083,12498.0,27553.3735278813
Nicaragua,October,1995/96,1995,1996,897.702,53862120.0,118745648.21279933
Nigeria,October,1995/96,1995,1996,13.038,782280.0,1724632.1846208181
Panama,October,1995/96,1995,1996,151.207,9072420.0,20001262.36692438
Sierra Leone,October,1995/96,1995,1996,35.768,2146080.0,4731296.516299848
Sri Lanka,October,1995/96,1995,1996,16.595,995700.0,2195142.744576045
Thailand,October,1995/96,1995,1996,893.343,53600580.0,118169051.21228068
Togo,October,1995/96,1995,1996,84.051,5043060.0,11118044.159346862
Trinidad & Tobago,October,1995/96,1995,1996,3.629,217740.0,480034.529681619
Uganda,October,1995/96,1995,1996,4213.584,252815040.0,557361756.3279127
Venezuela,October,1995/96,1995,1996,454.094,27245640.0,60066354.29078124
Viet Nam,October,1995/96,1995,1996,3679.241,220754460.0,486680276.39028096
Yemen,October,1995/96,1995,1996,50.7238,3043427.9999999995,6709610.2167717
Angola,April,1996/97,1996,1997,50.925,3055500.0,6736224.421062675
Bolivia (Plurinational State of),April,1996/97,1996,1997,105.079,6304740.0,13899572.42888257
Brazil,April,1996/97,1996,1997,17259.743,1035584580.0,2283073191.907031
Burundi,April,1996/97,1996,1997,185.636,11138160.0,24555439.501784798
Ecuador,April,1996/97,1996,1997,1512.914,90774840.0,200124265.75881425
Indonesia,April,1996/97,1996,1997,6772.467,406348020.0,895844037.2359562
Madagascar,April,1996/97,1996,1997,667.374,40042440.0,88278469.05807132
Malawi,April,1996/97,1996,1997,57.65,3459000.0,7625789.64897915
Papua New Guinea,April,1996/97,1996,1997,1082.348,64940880.0,143170133.13084623
Paraguay,April,1996/97,1996,1997,20.8431,1250586.0,2757070.186168904
Peru,April,1996/97,1996,1997,1527.861,91671660.0,202101415.41854176
Rwanda,April,1996/97,1996,1997,287.555,17253300.0,38037015.481564604
Timor-Leste,April,1996/97,1996,1997,0.0,0.0,0.0
Zimbabwe,April,1996/97,1996,1997,179.987,10799220.0,23808204.710334957
Congo,July,1996/97,1996,1997,10.86,651600.0,1436532.10039746
Cuba,July,1996/97,1996,1997,113.565,6813900.0,15022078.083023716
Dominican Republic,July,1996/97,1996,1997,339.848,20390880.0,44954195.32742873
Haiti,July,1996/97,1996,1997,112.623,6757380.0,14897472.812436754
Philippines,July,1996/97,1996,1997,27.819,1669140.0,3679823.803034709
Tanzania,July,1996/97,1996,1997,767.74,46064400.0,101554618.30194715
Zambia,July,1996/97,1996,1997,32.025,1921500.0,4236182.367884775
Cameroon,October,1996/97,1996,1997,1375.705,82542300.0,181974621.83952925
Central African Republic,October,1996/97,1996,1997,200.945,12056700.0,26580473.564858895
Colombia,October,1996/97,1996,1997,11176.063,670563780.0,1478340078.7812467
Costa Rica,October,1996/97,1996,1997,2064.915,123894900.0,273141499.27184355
Côte d'Ivoire,October,1996/97,1996,1997,3905.092,234305520.0,516555249.81632763
Democratic Republic of Congo,October,1996/97,1996,1997,591.83,35509800.0,78285708.37736914
El Salvador,October,1996/97,1996,1997,2837.544,170252640.0,375342821.5736842
Equatorial Guinea,October,1996/97,1996,1997,1.12,67200.0,148150.64018832
Ethiopia,October,1996/97,1996,1997,1853.442,111206520.0,245168409.68921447
Gabon,October,1996/97,1996,1997,0.705,42300.0,93255.536904255
Ghana,October,1996/97,1996,1997,28.2,1692000.0,3730221.4761702
Guatemala,October,1996/97,1996,1997,4224.217,253453020.0,558768261.4682004
Guinea,October,1996/97,1996,1997,103.638,6218280.0,13708960.756997418
Guyana,October,1996/97,1996,1997,0.3268,19607.999999999996,43228.240369234794
Honduras,October,1996/97,1996,1997,1825.466,109527960.0,241467818.34108192
India,October,1996/97,1996,1997,2476.121,148567260.0,327534742.2622706
Jamaica,October,1996/97,1996,1997,27.276,1636560.0,3607997.198014836
