country,harvest_group,crop_year,crop_year_beg,crop_year_end,openstock_1k_bags,openstock_kg,openstock_lb
Indonesia,April,1994/95,1994,1995,1644.0,98640000.0,217463975.41928402
Madagascar,April,1994/95,1994,1995,15.833,949980.0,2094347.398305063
Malawi,April,1994/95,1994,1995,10.0,600000.0,1322773.57311
Papua New Guinea,April,1994/95,1994,1995,38.0,2280000.0,5026539.577818
Paraguay,April,1994/95,1994,1995,100.0,6000000.0,13227735.7311
Peru,April,1994/95,1994,1995,120.0,7200000.0,15873282.87732
Rwanda,April,1994/95,1994,1995,1.2,72000.0,158732.8287732
Timor-Leste,April,1994/95,1994,1995,0.0,0.0,0.0
Zimbabwe,April,1994/95,1994,1995,0.0,0.0,0.0
Congo,July,1994/95,1994,1995,11.0,660000.0,1455050.930421
Cuba,July,1994/95,1994,1995,151.0,9060000.0,19973880.953961
Dominican Republic,July,1994/95,1994,1995,193.0,11580000.0,25529529.961023
Haiti,July,1994/95,1994,1995,30.0,1800000.0,3968320.71933
Philippines,July,1994/95,1994,1995,1108.0,66480000.0,146563311.900588
Tanzania,July,1994/95,1994,1995,38.583,2314980.0,5103657.277130313
Zambia,July,1994/95,1994,1995,0.0,0.0,0.0
Cameroon,October,1994/95,1994,1995,198.198,11891880.0,26217107.66432558
Central African Republic,October,1994/95,1994,1995,8.333,499980.0,1102267.218472563
Colombia,October,1994/95,1994,1995,2427.508,145650480.0,321104343.091311
Costa Rica,October,1994/95,1994,1995,100.0,6000000.0,13227735.7311
Côte d'Ivoire,October,1994/95,1994,1995,183.335,11000100.0,24251069.302612185
Democratic Republic of Congo,October,1994/95,1994,1995,81.0,4860000.0,10714465.942191
El Salvador,October,1994/95,1994,1995,199.92,11995200.0,26444889.27361512
Equatorial Guinea,October,1994/95,1994,1995,0.2,12000.0,26455.4714622
Ethiopia,October,1994/95,1994,1995,4219.0,253140000.0,558078170.495109
Gabon,October,1994/95,1994,1995,1.093,65580.0,144579.151540923
Ghana,October,1994/95,1994,1995,21.0,1260000.0,2777824.503531
Guatemala,October,1994/95,1994,1995,240.0,14400000.0,31746565.75464
Guinea,October,1994/95,1994,1995,11.667,700020.0,1543279.927747437
Guyana,October,1994/95,1994,1995,0.0,0.0,0.0
Honduras,October,1994/95,1994,1995,38.0,2280000.0,5026539.577818
India,October,1994/95,1994,1995,1198.0,71880000.0,158468274.058578
Jamaica,October,1994/95,1994,1995,8.921,535260.0,1180046.304571431
Kenya,October,1994/95,1994,1995,289.0,17340000.0,38228156.262879
Lao People's Democratic Republic,October,1994/95,1994,1995,0.0,0.0,0.0
Liberia,October,1994/95,1994,1995,0.0,0.0,0.0
Mexico,October,1994/95,1994,1995,884.0,53040000.0,116933183.862924
Nepal,October,1994/95,1994,1995,0.0,0.0,0.0
Nicaragua,October,1994/95,1994,1995,11.1,666000.0,1468278.6661521
Nigeria,October,1994/95,1994,1995,0.0,0.0,0.0
Panama,October,1994/95,1994,1995,21.71,1302600.0,2871741.42722181
Sierra Leone,October,1994/95,1994,1995,0.0,0.0,0.0
Sri Lanka,October,1994/95,1994,1995,5.0,300000.0,661386.786555
Thailand,October,1994/95,1994,1995,173.0,10380000.0,22883982.814803
Togo,October,1994/95,1994,1995,25.0,1500000.0,3306933.932775
Trinidad & Tobago,October,1994/95,1994,1995,0.0,0.0,0.0
Uganda,October,1994/95,1994,1995,3000.0,180000000.0,396832071.933
Venezuela,October,1994/95,1994,1995,250.0,15000000.0,33069339.32775
Viet Nam,October,1994/95,1994,1995,0.0,0.0,0.0
Yemen,October,1994/95,1994,1995,0.0,0.0,0.0
Angola,April,1995/96,1995,1996,136.0,8160000.0,17989720.594296
Bolivia (Plurinational State of),April,1995/96,1995,1996,12.5,750000.0,1653466.9663875
Brazil,April,1995/96,1995,1996,32161.0,1929660000.0,4254172088.479071
Burundi,April,1995/96,1995,1996,120.59,7235400.0,15951326.51813349
Ecuador,April,1995/96,1995,1996,100.0,6000000.0,13227735.7311
Indonesia,April,1995/96,1995,1996,1386.0,83160000.0,183336417.233046
Madagascar,April,1995/96,1995,1996,16.0,960000.0,2116437.716976
Malawi,April,1995/96,1995,1996,5.0,300000.0,661386.786555
Papua New Guinea,April,1995/96,1995,1996,39.5,2370000.0,5224955.6137845
Paraguay,April,1995/96,1995,1996,67.0,4020000.0,8862582.939837
Peru,April,1995/96,1995,1996,160.0,9600000.0,21164377.16976
Rwanda,April,1995/96,1995,1996,0.3,18000.0,39683.2071933
Timor-Leste,April,1995/96,1995,1996,0.0,0.0,0.0
Zimbabwe,April,1995/96,1995,1996,0.0,0.0,0.0
Congo,July,1995/96,1995,1996,0.0,0.0,0.0
Cuba,July,1995/96,1995,1996,116.0,6960000.0,15344173.448076
Dominican Republic,July,1995/96,1995,1996,198.0,11880000.0,26190916.747578
Haiti,July,1995/96,1995,1996,27.0,1620000.0,3571488.647397
Philippines,July,1995/96,1995,1996,1107.0,66420000.0,146431034.543277
Tanzania,July,1995/96,1995,1996,86.5,5190000.0,11441991.4074015
Zambia,July,1995/96,1995,1996,0.0,0.0,0.0
Cameroon,October,1995/96,1995,1996,120.0,7200000.0,15873282.87732
Central African Republic,October,1995/96,1995,1996,8.333,499980.0,1102267.218472563
Colombia,October,1995/96,1995,1996,4674.038,280442280.0,618269394.6111919
Costa Rica,October,1995/96,1995,1996,309.0,18540000.0,40873703.409099
Côte d'Ivoire,October,1995/96,1995,1996,887.0,53220000.0,117330015.934857
Democratic Republic of Congo,October,1995/96,1995,1996,101.0,6060000.0,13360013.088411
El Salvador,October,1995/96,1995,1996,603.466,36207960.0,79824887.70703992
Equatorial Guinea,October,1995/96,1995,1996,0.0,0.0,0.0
Ethiopia,October,1995/96,1995,1996,4185.0,251100000.0,553580740.346535
Gabon,October,1995/96,1995,1996,1.0,60000.0,132277.357311
Ghana,October,1995/96,1995,1996,15.0,900000.0,1984160.359665
Guatemala,October,1995/96,1995,1996,153.333,9199980.0,20282484.028567564
Guinea,October,1995/96,1995,1996,12.0,720000.0,1587328.287732
Guyana,October,1995/96,1995,1996,0.0,0.0,0.0
Honduras,October,1995/96,1995,1996,329.1,19746000.0,43532478.2910501
India,October,1995/96,1995,1996,1295.0,77700000.0,171299177.717745
Jamaica,October,1995/96,1995,1996,14.179,850740.0,1875560.649312669
Kenya,October,1995/96,1995,1996,576.825,34609500.0,76300886.63091758
Lao People's Democratic Republic,October,1995/96,1995,1996,0.0,0.0,0.0
Liberia,October,1995/96,1995,1996,0.0,0.0,0.0
Mexico,October,1995/96,1995,1996,899.0,53940000.0,118917344.222589
Nepal,October,1995/96,1995,1996,0.0,0.0,0.0
Nicaragua,October,1995/96,1995,1996,40.9,2454000.0,5410143.9140199
Nigeria,October,1995/96,1995,1996,0.0,0.0,0.0
Panama,October,1995/96,1995,1996,49.779,2986740.0,6584634.569584269
Sierra Leone,October,1995/96,1995,1996,0.0,0.0,0.0
Sri Lanka,October,1995/96,1995,1996,5.0,300000.0,661386.786555
Thailand,October,1995/96,1995,1996,80.25,4815000.0,10615257.92420775
Togo,October,1995/96,1995,1996,1.183,70980.0,156484.113698913
