country,calendar_year,exports_1k_bags,exports_kg,exports_lb,population_boy,population_mid
Lao People's Democratic Republic,1993.0,141.6669996,8500019.976,18739336.325266495,4623129.0,4685296.0
Liberia,1993.0,0.0,0.0,0.0,2104540.0,2132770.0
Madagascar,1993.0,627.783,37666980.0,83041476.20477152,12816354.0,13020100.0
Malawi,1993.0,103.574,6214440.0,13700495.006129514,10264995.0,10257233.0
Mexico,1993.0,3263.6160007,195816960.042,431702499.85049075,85823198.0,86648447.0
Nepal,1993.0,0.0083167,499.00199999999995,1100.1110975483937,21008611.0,21267359.0
Nicaragua,1993.0,476.4660004,28587960.023999996,63025663.381453864,4476987.0,4526688.0
Nigeria,1993.0,10.304,618240.0,1362985.889732544,101458492.0,102775464.0
Panama,1993.0,129.286,7757160.0,17101610.417309947,2580750.0,2607500.0
Papua New Guinea,1993.0,1054.6339997,63278039.982,139504198.41064596,4212725.0,4291588.0
Paraguay,1993.0,58.4419998,3506519.988,7730553.28951399,4331597.0,4386202.0
Peru,1993.0,775.0,46500000.0,102514951.916025,23281308.0,23513882.0
Philippines,1993.0,34.7579998,2085479.988,4597696.358960266,65308248.0,66083320.00000001
Rwanda,1993.0,480.725,28843500.0,63589032.59333047,7752966.0,7904740.0
Sierra Leone,1993.0,40.986,2459160.0,5421519.766748646,4290102.0,4295689.0
Sri Lanka,1993.0,14.464,867840.0,1913259.696146304,17727984.0,17825611.0
Tanzania,1993.0,1037.2959986,62237759.916,137210773.44408277,27926182.0,28469017.0
Thailand,1993.0,981.7820003,58906920.01800001,129867528.45519142,57361370.0,57776082.0
Timor-Leste,1993.0,0.0,0.0,0.0,789305.0,795180.0
Togo,1993.0,218.284,13097040.0,28874030.663274325,4164649.0000000005,4078392.0
Trinidad & Tobago,1993.0,9.7439996,584639.976,1288910.5167274412,1289955.0,1293974.0
Uganda,1993.0,1829.081,109744860.0,241946000.9877612,19128745.0,19462958.0
Venezuela,1993.0,525.0020004,31500120.024,69445877.19590056,20936852.0,21172100.0
Viet Nam,1993.0,2071.8369999,124310219.99400002,274057123.1259226,70493123.0,71176405.0
Yemen,1993.0,50.8530024,3051180.144,6726700.768801941,14706994.0,14988046.0
Zambia,1993.0,23.072,1384320.0,3051903.187879392,8171291.0,8270918.0
Zimbabwe,1993.0,69.828,4189680.0,9236663.306312509,10774159.0,10794918.0
Angola,1994.0,8.302,498120.0,1098166.620395922,13243154.0,13462031.0
Bolivia (Plurinational State of),1994.0,84.3210002,5059260.012,11153759.072276304,7619695.0,7693722.0
Brazil,1994.0,17273.1476003,1036388856.0179999,2284846317.010525,159710821.0,160980472.0
Burundi,1994.0,507.803,30468180.0,67170838.87459773,5274505.0,5586408.0
Cameroon,1994.0,545.889,32753340.0,72208754.30514447,12667792.0,12848862.0
Central African Republic,1994.0,136.676,8200560.0,18079140.087838236,3138304.0,3187844.0
Colombia,1994.0,11768.0890004,706085340.0239999,1556651713.5735595,34952627.0,35295461.0
Congo,1994.0,1.017,61019.99999999999,134526.072385287,2633483.0,2669220.0
Costa Rica,1994.0,2104.9679999,126298079.99400002,278439604.2509934,3447233.0,3489152.0
Côte d'Ivoire,1994.0,2443.9930001,146639580.00599998,323284935.33981055,13557487.0,13802285.0
Cuba,1994.0,135.7250001,8143500.005999998,17953344.334263206,10866472.0,10887206.0
Democratic Republic of Congo,1994.0,761.01,45660600.0,100664391.68724412,40283616.0,41511985.0
Dominican Republic,1994.0,332.3130004,19938780.024,43957485.49300129,7650360.0,7723934.0
Ecuador,1994.0,2145.2509996,128715059.97599998,283768132.9958691,11240489.0,11347652.0
El Salvador,1994.0,2092.9550001,125577300.00599998,276850556.3840717,5663356.0,5693038.0
Equatorial Guinea,1994.0,0.849,50940.0,112303.476357039,529878.0,539992.0
Ethiopia,1994.0,1475.325,88519500.0,195152092.1748511,54692975.0,55620210.0
Gabon,1994.0,5.039,302340.0,666545.603490129,1079484.0,1093611.0
Ghana,1994.0,10.815,648900.0,1430579.619318465,16844125.0,17040854.0
Guatemala,1994.0,3274.0689998,196444139.988,433085194.947413,9960869.0,10094921.0
Guinea,1994.0,50.4670001,3028020.006,6675641.404641973,7166796.0,7262112.0
Guyana,1994.0,0.4029972,24179.832000000002,53307.40461973254,748407.0,749546.0
Haiti,1994.0,103.468,6208080.0,13686473.606254548,7416071.0,7486090.0
Honduras,1994.0,1718.185,103091100.0,227276971.17140055,5573917.0,5652934.0
India,1994.0,2496.0849996,149765099.976,330175527.3707165,935738422.0,945261958.0
Indonesia,1994.0,4604.6299989,276277799.934,609088287.6494448,193329564.0,194928533.0
Jamaica,1994.0,15.8269995,949619.97,2093553.6680225183,2471531.0,2484182.0
Kenya,1994.0,1358.411,81504660.0,179687017.22219282,25755739.0,26133744.0
Lao People's Democratic Republic,1994.0,153.0,9180000.0,20238435.668583002,4747463.0,4807950.0
Liberia,1994.0,0.0,0.0,0.0,2161001.0,2125198.0
Madagascar,1994.0,435.621,26137260.0,57622794.66917513,13223845.0,13436122.0
Malawi,1994.0,78.469,4708140.0,10379671.95083686,10249471.0,10131799.0
Mexico,1994.0,2789.0460003,167342760.018,368927634.33849853,87473695.0,88314424.0
Nepal,1994.0,0.0,0.0,0.0,21526107.0,21794751.0
Nicaragua,1994.0,623.5139996,37410839.975999996,82476784.11349991,4576390.0,4625260.0
Nigeria,1994.0,7.873,472380.0,1041419.634109503,104092437.0,105456121.0
Panama,1994.0,76.486,4589160.0,10117365.951289145,2634249.0,2661384.0
Papua New Guinea,1994.0,1156.8369996,69410219.976,153023341.14667436,4370452.0,4451694.0
Paraguay,1994.0,48.36284,2901770.4,6397308.667254723,4440806.0,4495301.0
Peru,1994.0,1057.017,63421020.0,139819415.39280128,23746457.0,23983258.0
Philippines,1994.0,125.6699992,7540199.9520000005,16623295.387451485,66858393.0,67650283.0
Rwanda,1994.0,30.024,1801440.0,3971495.375905464,8056514.0,6732665.0
Sierra Leone,1994.0,61.924,3715440.0,8191143.074126364,4301276.0,4314952.0
Sri Lanka,1994.0,47.359,2841540.0,6264523.364891649,17923239.0,18011744.0
Tanzania,1994.0,632.137999,37928279.940000005,83617543.96358357,29011852.0,29598323.0
Thailand,1994.0,1136.0460002,68162760.012,150273162.69018775,58190794.0,58610010.0
Timor-Leste,1994.0,0.0,0.0,0.0,801054.0,807114.0
Togo,1994.0,165.795,9947700.0,21930924.455377243,3992135.0,4092612.0
Trinidad & Tobago,1994.0,5.3999985,323999.91,714297.531063364,1297993.0,1301393.0
Uganda,1994.0,3368.765,202125900.0,445611331.6017909,19797171.0,20125021.0
Venezuela,1994.0,385.9960001,23159760.006,51058530.8258445,21407348.0,21640833.0
Viet Nam,1994.0,2720.911,163254660.0,359914916.5584303,71859688.0,72501087.0
Yemen,1994.0,92.840004,5570400.239999999,12280630.381862668,15269099.0,15553171.0
Zambia,1994.0,23.954,1437240.0,3168571.817027694,8370544.0,8474216.0
Zimbabwe,1994.0,31.744,1904640.0,4199012.430480384,10815677.0,10858594.0
Angola,1995.0,40.559,2433540.0,5365037.335176849,13680908.0,13912252.0
Bolivia (Plurinational State of),1995.0,93.9580001,5637480.006,12428515.951454675,7767750.0,7841472.0
Brazil,1995.0,14468.4322014,868105932.084,1913845976.0345662,162250123.0,163515328.0
Burundi,1995.0,528.202,31692120.0,69869164.68638483,5898312.0,5932783.0
Cameroon,1995.0,407.269,24436140.0,53872467.03469366,13029933.0,13211647.0
Central African Republic,1995.0,231.542,13892520.0,30627763.866503563,3237384.0,3276706.0
Colombia,1995.0,9814.1969996,588851819.9760001,1298196043.2366335,35638295.0,35970101.0
